"Name","Rating","Rating Deviation","Volatility"
"slogdor",1284.01557632,600.574766957,0.0599784335145
"yogibackair",2199.98151505,193.597128651,0.0598641456123
"jakpox",1770.49505602,328.560994323,0.0598809034509
"nickahoy",1586.213953,216.231193832,0.059986735654
"egg",1691.06650315,236.62478505,0.0599305628654
"jack",1249.08829113,454.989907199,0.0599622544534
"quietguy",1411.82000172,588.988246919,0.0599646657004
"ciezi",1358.46798783,542.872617244,0.0599701547093
"oven",1745.64097473,239.676742423,0.0597348300621
"ryko",1594.17144836,359.102037848,0.0599836845524
"cornelius",1384.31286046,374.797691714,0.0598766870586
"poxx",1558.80464112,454.288941636,0.0599549463113
"charblaze",1284.11815374,502.601502473,0.0600049628698
"decaf",1560.6975792,213.050882327,0.0599917147426
"holiday",1596.6725316,233.630970422,0.0599769859554
"jumjum",1443.69659846,527.537572358,0.0599631943816
"ledfree",1013.87788521,245.330134696,0.059984651392
"juicebox",1208.36337287,480.92700497,0.0599655664445
"tran",1960.98102266,194.298484677,0.0596486182101
"mingee",2330.06993452,179.647782509,0.0594594069613
"l7",1498.30166478,477.466407195,0.0599900549509
"juggleguy",2249.92240936,144.116099403,0.0598820239851
"liam_butler",1584.58686607,342.306710437,0.0599615351453
"drama-sama",1478.24283984,522.815824612,0.0599333277276
"jasper",1568.67305878,288.122156687,0.0599947440884
"psychowaffle",1550.57864053,295.264051397,0.0599949670296
"illy",1398.81397098,472.664747559,0.059988810799
"weoweojax",1551.26107833,303.179702867,0.0599949409791
"skigh",1577.95304479,392.240771384,0.0599714204347
"burlap",1991.61750374,237.44598378,0.0597934754661
"scoops",1413.92056872,514.761572615,0.0599749125173
"lxix",1340.89759037,194.252501561,0.0599889005091
"cobb",1571.87912018,242.035197541,0.0599913937087
"lain",2175.34985949,233.079349048,0.0595589808258
"ryanford",895.186495844,153.049325498,0.0599413483771
"math",1764.85531945,538.443670648,0.0599223704074
"danil",1578.64513342,213.071579704,0.0599906741032
"stuffer",1181.53187346,570.306403718,0.059957778121
"smalls",1532.68724392,424.616294373,0.0599977589744
"morsecode762",1803.61496852,159.976076527,0.059812372608
"lidds",1345.1062804,386.816311873,0.0599794000139
"meech",1269.60709913,528.753514227,0.059985331066
"lmn",1469.08939621,500.574705087,0.0599643157385
"248",1856.93132037,220.977412597,0.0594602501661
"ntf",1229.47337817,570.456631236,0.0599922095809
"zaps",1412.76833889,345.643357521,0.0599598244546
"koleslawing",1627.23347381,248.411317894,0.059963801101
"robotsword",1532.68724392,440.685741811,0.0599977589744
"normalpunch",1301.0928135,535.036897819,0.0599933571822
"zam",1419.66638823,503.229677192,0.0599781175135
"jcubez",1961.00556011,311.526089882,0.0598256903104
"jyun",1228.32531224,569.714108565,0.0599921800839
"yono",1575.47674267,342.636618457,0.0599798545468
"fancy",1534.75823109,167.739229603,0.0599242763286
"fija",1604.27078088,360.039480136,0.0599134356829
"crip",2230.40908793,167.647425158,0.0597061429677
"mojo",1508.47098864,547.882455901,0.0599897264311
"sheep",2128.49898638,225.941660144,0.0593923329848
"niinii",1339.28637004,491.748374032,0.0599713401926
"jet",1532.68724392,358.291488811,0.0599977589744
"dogg",1339.09378076,480.062241331,0.0599711445721
"lenpo",1318.12807183,519.104991141,0.0599813426691
"hollywood",1551.01408722,284.801738316,0.0599949502037
"john",1493.29455857,505.90119914,0.0599669328028
"bobo",840.460439846,486.311533814,0.0599093707547
"idcrisis",1664.31791761,198.859181347,0.0598494474247
"uok?",1405.27912731,550.019993432,0.059962710377
"kardinal",1482.26528481,492.102203781,0.0599438229598
"noodle",1532.68724392,336.560411848,0.0599977589744
"wasted",1277.9280642,509.595341564,0.0599888506198
"finesse",1338.28425809,202.79377451,0.0599967337688
"carnage",1731.69591168,298.137805314,0.0597838070089
"peco",1274.10041795,553.659271797,0.0599947933727
"captainkush",1593.74880761,287.218279632,0.0599903314753
"ferriswheel",1600.65971116,199.717207395,0.0599614778387
"stu",1281.39944615,487.657150634,0.0599912009255
"apples",1510.53820024,568.982900861,0.0599734883478
"iron",1527.40701232,239.758975788,0.0599074284401
"gobos",1453.9254785,525.940698351,0.0599644328796
"squishyboy",1532.68724392,369.927161728,0.0599977589744
"shinsuyavi",1561.62818057,365.520287549,0.0599916455467
"i4n",2314.57913338,186.000803118,0.0596294929523
"mattybfor3",1532.68724392,349.854281438,0.0599977589744
"coleslaw",1551.16861221,342.653033799,0.0599949444057
"hellsing",1581.20773115,306.664731308,0.0599706890464
"ginger",2570.89554583,122.717137266,0.0595138495241
"magicubed",2211.45480845,177.73754106,0.0595099714716
"alfonso",1520.85475857,488.535553161,0.0599842462205
"null",1660.89433088,363.08111824,0.0599365468628
"adknight",1561.58151865,304.00243079,0.0599916491978
"beckett",1413.27951648,439.502400994,0.0597754275971
"kevin",1356.45299476,516.83569498,0.0599737421918
"doctortropical",1532.68724392,304.891265202,0.0599977589744
"ikkitrix",1550.9521316,309.674757519,0.0599949525537
"rodohk",1864.81819701,271.826423237,0.0598228926595
"goonsquad",1454.32586099,192.83173084,0.0595434721121
"yungbitch",1536.51140378,246.75311397,0.0598303670356
"moby",1213.81519224,561.108156745,0.0600004681331
"mit",1265.39334539,505.044013758,0.0599882859255
"scoot",1601.81458975,331.329508393,0.0599808353188
"amac",1505.92574149,551.457535746,0.0599654522266
"plat",1561.31714496,227.857318644,0.0599916768251
"wildturkey",1777.81092347,290.683314131,0.0598787734949
"jepr",1499.28071779,248.849961213,0.059969317525
"coin",1497.99407951,226.707442016,0.0596152388668
"mushu",1354.81555726,487.829348185,0.0599747286852
"mushy",1532.68724392,461.633979747,0.0599977589744
"napkin",1600.78545833,348.679903489,0.0599603847394
"wildcard",1297.5445275,277.484800213,0.0599301602798
"majinjoseph",1985.99670154,230.587716368,0.0596902613335
"nkdk",872.971133298,308.046236135,0.0599021602827
"amir",1665.21860469,483.368343715,0.0599556165573
"cagnar",1124.02966037,516.429442929,0.0599601709591
"dover",869.889088257,173.494859457,0.0599697239151
"stones",1208.06545397,266.48634656,0.0599977589744
"lotus",1013.87788521,245.993148895,0.059984651392
"stove",1414.6190651,581.743127607,0.0599789913701
"pops",1818.36875074,300.70432455,0.0599535626563
"vorporal",1532.68724392,311.238564317,0.0599977589744
"ju4n",1273.65490869,299.433919009,0.0599698799173
"hack",1529.08839127,371.597692706,0.0599283455463
"helpmeherbdean",1532.68724392,337.36637648,0.0599977589744
"invaderslim",1456.57454316,391.210025514,0.0599549834434
"greenwing147",1280.66470044,537.359979888,0.0600039877358
"jam",1406.41921294,498.304288948,0.0599864577401
"nu~13",1576.56239715,316.90114948,0.0599873033321
"rich",1639.71174486,193.774569206,0.059663523114
"bicktrip",1550.51609778,375.593580101,0.0599949695059
"aaronkaa",1243.34903759,532.108264574,0.0599880362591
"999",2185.91381869,143.169567884,0.0597063338604
"duel",1597.06655547,374.052524102,0.0599662892547
"bean",1532.68724392,350.629689838,0.0599977589744
"gahtzu",1577.29054272,219.462803585,0.0599835343401
"data_expunged",1274.14023717,547.231483885,0.0599833921551
"boero",1437.45958455,567.555655843,0.0599887335395
"itstospicy",1344.96958384,567.159044215,0.0599887778759
"jwinks",1572.57614592,352.379109605,0.0599840245509
"btp",1532.68724392,364.60299596,0.0599977589744
"scorpiator",1532.68724392,412.416740347,0.0599977589744
"aceturner",1532.68724392,349.232715128,0.0599977589744
"honeydew",1511.6833907,387.985956542,0.0599706037399
"gdin",1492.61300861,565.703941004,0.0599890862184
"luu",1702.19534444,524.842211354,0.0599504176309
"nightmare",1597.8525721,202.359895936,0.059976977612
"e-n",1532.68724392,470.72204674,0.0599977589744
"dmr",1561.63897187,324.386152867,0.059991643742
"wok",1446.99897484,476.336931988,0.0600069868155
"keff",1630.79544688,314.896213946,0.0599142585846
"xtrooper",1532.68724392,303.820490109,0.0599977589744
"nambu",1281.61504115,515.942241574,0.059977473868
"exal",1568.5268442,466.827199876,0.0599504690718
"badhorse",1567.96944734,417.541367566,0.0599879894887
"superbagel",1532.68724392,456.903318012,0.0599977589744
"jm",1482.15850964,413.828624179,0.0599803090849
"pepsi",1217.89828731,184.885405625,0.0599325801248
"jlidds",1339.80495867,531.465609624,0.0600347167338
"necrojoe",1211.16371999,543.986539054,0.0600278508454
"vro",1606.30404816,172.861504427,0.059971630325
"theswordbotanist",1532.68724392,271.933894806,0.0599977589744
"shaeden",2337.25886059,287.525239671,0.059947795543
"kjh",2902.45996664,127.262104339,0.0597368359197
"joka",2141.85593918,186.835745567,0.0592950439812
"joba",1550.51609778,302.01486665,0.0599949695059
"princessduo",1417.94663105,475.544640348,0.0600198838429
"colony",1643.55353989,213.963057742,0.0599445845397
"shanahan",1607.36122133,286.793625071,0.0599692896989
"rosilius",1241.38621276,489.829140179,0.0599786666511
"ncr0",1532.68724392,364.006614965,0.0599977589744
"surf'sup.hailsatan.",1551.13774874,270.471200892,0.0599949455565
"duo",1735.90440165,162.305502517,0.0596488817291
"beel",1493.03517006,423.269405485,0.0599767258617
"scoops™",1532.68724392,429.955289718,0.0599977589744
"xam",1733.29572828,282.616460758,0.0599326847844
"mars",1875.80257464,211.22752335,0.0594916089296
"yoyo",2204.31037879,255.63132424,0.0597265571864
"juggles",1733.02491475,479.860769525,0.0599673193227
"life",1597.07571152,287.664626644,0.0599682197149
"nexic",1894.81770158,193.89729331,0.0596986317013
"wonov",1532.68724392,350.784565834,0.0599977589744
"damiantyson",881.131309679,149.456772058,0.0599550733553
"kenpachi",1574.90870776,310.357512392,0.0599948226696
"hummuslover69",1460.35108468,544.013035671,0.0598948313842
"will",1900.02006666,258.606168197,0.0598564981276
"paco",1613.94425762,311.9441572,0.0599712811549
"sammyg",1340.97829064,444.11719434,0.0599148739967
"trix",1578.61788617,239.930849757,0.0599875988017
"omni",1532.68724392,468.640443332,0.0599977589744
"lepotatochip",1300.16430092,566.740183129,0.0599990277114
"papyrus",2003.80990195,268.196369797,0.0594143457057
"simian",1561.33364618,227.298551588,0.0599916658211
"monroe",1278.26201276,503.669474657,0.0600167873402
"boated",1532.68724392,271.73408125,0.0599977589744
"starlight",1703.89054514,316.593172919,0.0599400944718
"quang",1573.37268837,212.008829058,0.0599839128962
"s2j",1888.46032203,351.114875088,0.05969221363
"middleone",1560.6975792,212.284826179,0.0599917147426
"paz",1378.28898726,207.257935319,0.0599332113639
"drephen",1613.40070254,120.717114774,0.0599469509664
"roadapples",1414.91682324,461.051907342,0.0599758545411
"theodore",1137.49916859,515.021225983,0.0599591424844
"zephyr",1208.06545397,294.192763267,0.0599977589744
"skvarek",1349.66019323,476.684686982,0.0599374590626
"nix",1560.82797123,310.539879553,0.0599917051789
"pupudoodoo",1532.68724392,274.51823646,0.0599977589744
"dylan",1316.38339999,586.408752842,0.059967815642
"alcoholman",1275.71775607,571.956679173,0.0599799216651
"charlie",1856.09225044,362.789151713,0.0599328349329
"bakinshake",1164.19611328,528.903835055,0.0599643493676
"trialcolt",816.66171466,320.334064186,0.0599221611235
"thg",1201.30311712,491.616164847,0.059995827528
"bigjoe",1409.98228147,313.290651915,0.059894676152
"snowman",1550.5473797,441.336197352,0.0599949682654
"m.a.c",1554.13573538,569.416334025,0.0599507026558
"lw13",1439.33766032,455.920274462,0.0599813158533
"albin0",1010.67023997,205.484377815,0.0599847831277
"yep",1532.68724392,358.139859165,0.0599977589744
"paul",1157.8294468,155.490629056,0.0599217620208
"ham",1319.02767964,458.934069538,0.0599580589996
"elm",1296.68963289,482.171588627,0.05998426574
"rose",1216.64865377,263.248974312,0.0599391467327
"bigbrother",1647.86249785,445.180748503,0.0600811171409
"krampusklaus",1550.9521316,227.35275116,0.0599949525537
"pillars",1600.69784716,324.049448726,0.0599713909
"cobab",1726.04550666,411.805180707,0.0598756974839
"danko",1891.80595888,220.582668932,0.0596925049322
"jake",1505.98112913,472.860904581,0.059965684352
"capp",1230.92165929,513.406596188,0.0599880030298
"rildom",1551.07595955,408.678538867,0.0599949478714
"sasquatch",1551.07595955,417.877603799,0.0599949478714
"clam",1297.9353949,431.901304191,0.059988538834
"w.a.i",1522.02736117,493.860683965,0.0599726997503
"bobby",1145.22764248,552.052800483,0.06002798724
"hunt",2021.61223085,205.793646754,0.0596013111584
"deathforgold",1208.79264117,541.223244913,0.0599896941116
"walrus",2081.22058562,202.080196513,0.0593262526188
"jlp",1179.34663807,583.516839867,0.0599718758783
"bort",1304.3898858,536.276950212,0.0599742158653
"walleye",1255.2916733,579.253513619,0.059987520029
"myong",1622.32663206,555.772627026,0.059918046365
"shadowkaiba420",1538.33855794,550.592484726,0.0599554665448
"mr.quang&watch",1659.02516453,573.051687968,0.0599661183592
"savage",1334.71612476,481.269361662,0.0599542326525
"wende",1532.68724392,351.403387223,0.0599977589744
"lonefire",1562.89458808,518.055065298,0.0599017099082
"tavi",1550.89009254,284.850094644,0.0599949549214
"kliner",1255.41555496,544.251971328,0.059983600794
"oldmankarp",1535.21865245,342.361643708,0.059924233947
"luxy",1661.99048666,260.941050014,0.0598767830977
"cocopebblez",1532.68724392,385.176740584,0.0599977589744
"gammra",1294.26339207,500.430970682,0.0599704619436
"stego",1192.12728144,545.669350102,0.0599840501673
"wartle",1310.64035753,602.373140537,0.0599757919274
"thinkingman",1426.60682961,234.965594508,0.0599936187969
"zashi",1607.22921398,561.368347947,0.0599339926977
"ladies",1327.91190928,474.362247899,0.0599889477957
"toptierramen",1418.53928247,360.775957032,0.0598849244657
"h2",1542.44902078,545.78776986,0.0599922178562
"nintnt",1601.39783601,203.045425209,0.0599764841385
"hotmama-",1433.06068909,515.320385754,0.0599636512667
"shabby",1532.68724392,268.719049279,0.0599977589744
"lempo",1272.12965964,531.593867479,0.0599934934892
"hazardz",1306.04927841,505.56588792,0.0599711385823
"ceephax",1961.14102768,298.555186427,0.0596433410186
"springbreak2004",1221.91592628,572.227215688,0.0599896125839
"d_lidz",1683.09219806,244.608127004,0.0598850770227
"hindawg",1550.5473797,296.651461447,0.0599949682654
"wildvoose",1303.6734285,569.925026028,0.0599743526234
"boyd",1573.27602807,214.243535543,0.059983858614
"marthur",1272.38010411,488.959247679,0.0599623244481
"uuuu",1167.95499271,491.783948816,0.0600045306494
"breachin",1701.23444714,292.958078278,0.0599294149221
"mb-smash",1764.5214665,162.485726893,0.0597237466075
"uguize",1550.45347057,427.036239493,0.0599949720007
"webs",1838.27941044,207.94903119,0.0599104219889
"clickclack",1551.10686453,303.148476294,0.0599949467118
"heartstrings",2086.5527197,150.11806959,0.0593988790148
"1der",2081.21104695,231.782621947,0.059987660514
"daddy",1155.24892988,473.430414272,0.059968880372
"na5ty",1248.89319285,530.709723614,0.0599406826297
"tmdg",1187.85252289,519.537446903,0.0600103225794
"inu",1429.07764189,493.497319014,0.0599047105138
"aiya",1582.04320241,320.336429927,0.059900072656
"b0xtop",868.164117562,173.129624958,0.0599698092689
"zetts",1561.75475302,246.951597261,0.0599916494805
"treetz",1632.8601097,303.151856113,0.0599257760432
"yungmu",1281.57830607,553.88873726,0.059993566959
"ryangg",1572.68762392,394.978615038,0.0599839767272
"b17",1307.30490193,569.469121801,0.0599706899112
"beverage",1252.07153559,474.00308712,0.0599456378156
"tib",1189.40177011,562.766543531,0.0600114285037
"thenoon",1475.23432294,469.227395965,0.0599621609987
"papa",1560.6975792,217.840021603,0.0599917147426
"psythr",1633.96879248,213.937818746,0.0599760500431
"itches",1095.45468951,578.935732645,0.0599727969636
"woley",1224.9084259,149.627551746,0.0599109693193
"dinkus",1462.82000006,578.565415358,0.0599683787925
"bosko",1503.86085969,478.386275838,0.059974557307
